region,ccg,name,postal_code,latitude,longitude
East of England,NHS Basildon & Brentwood CCG,Brentwood Centre,CM15 9NN,51.6348739,0.2997175
East of England,NHS Bedfordshire CCG,Shefford Health Centre,SG17 5FS,52.0347173,-0.3218438
East of England,NHS Cambridgeshire & Peterborough CCG,Cathedral Medical Centre,CB6 1DN,52.413298,0.2749962
East of England,NHS Cambridgeshire & Peterborough CCG,Staploe Medical Centre,CB7 5JD,52.3351566,0.3429604000000001
East of England,NHS East & North Herts CCG,"Barclay Hall, Hoddesdon Parish Church",EN11 8TR,51.76250599999999,-0.011945
East of England,NHS East & North Herts CCG,Moors Walk Surgery,AL7 2BQ,51.801033,-0.172779
East of England,NHS East & North Herts CCG,Parkway Surgery,AL8 6HG,51.8027835,-0.2090117
East of England,NHS Herts Valley CCG,Sheepcot Medical Centre,WD25 7NL,51.694961,-0.4129789
East of England,NHS Herts Valley CCG,The Colne Practice,WD3 7DJ,51.6367552,-0.4813456
East of England,NHS Ipswich & East Suffolk CCG,Two Rivers Medical Centre,IP4 5PB,52.06021519999999,1.1955724
East of England,NHS Luton CCG,Kingsway Health Centre,LU4 8BY,51.8900076,-0.4425854
East of England,NHS Mid Essex CCG,Danbury Medical Centre,CM3 4QL,51.7160123,0.586299
East of England,NHS Milton Keynes CCG,Whaddon Medical Centre,MK3 7TT,51.9997553,-0.7668258
East of England,NHS Norfolk & Waveney CCG,Fakenham Medical Practice 		,NR21 8SY,52.839341,0.867618
East of England,NHS Norfolk & Waveney CCG,Kirkley Mill,NR33 0HF,52.46811520000001,1.7437936
East of England,NHS Norfolk & Waveney CCG,Lionwood Medical Practice ,NR1 4NU,52.633275,1.3195205
East of England,NHS Norfolk & Waveney CCG,St James Medical Practice,TA1 1JP,51.0180217,-3.1019673
East of England,NHS Norfolk & Waveney CCG,Swanton Morley Surgery ,NR20 4LT,52.7020381,0.981378
East of England,NHS North East Essex CCG,St Helena Tendring Centre,CO15 1JP,51.788598,1.1503214
East of England,NHS Thurrock CCG,Stifford Clays Health Centre,RM16 2AP,51.4975438,0.3279775
East of England,NHS West Essex CCG,Stansted Surgery,CM24 8XG,51.902051,0.200475
East of England,NHS West Suffolk CCG ,Swan Surgery,IP33 1AE,52.24882849999999,0.7172234
London,NHS Barking and Dagenham CCG,Barking Hospital+C4,IG11 9LX,51.5386657,0.0986528
London,NHS Newham CCG ,Liberty Bridge (Sir Ludwig Guttman),E20 1AS,51.5487124,-0.0053266
London,NHS North Central London CCG,Bingfield ,NE19 2LF,55.04701799999999,-2.0334439
London,NHS North Central London CCG,Lordship Lane Health Centre,N17 6AA,51.597241,-0.0805037
London,NHS South East London CCG ,Hurley Clinic,SE11 4HJ,51.4906759,-0.1070718
London,NHS South East London CCG,Bursted Wood Surgery,DA7 6HZ,51.46576520000001,0.1534125
London,NHS South West London CCG,The Wilson Hospital,CR4 4LD,51.3973193,-0.162985
London,NHS South West London CCG,Fairhill Medical Practice  ,KT2 7PX,51.41717209999999,-0.2825381
Midlands,NHS Herefordshire and Worcestershire CCG,Ombersley Medical Centre,WR9 0EL,52.27735699999999,-2.2288826
Midlands,NHS Herefordshire and Worcestershire CCG,Riverside Surgery,23606,37.0852727,-76.48879579999999
Midlands,NHS Herefordshire and Worcestershire CCG,Stourport Medical Centre,DY13 8EH,52.3434434,-2.2770436
Midlands,NHS Lincolnshire CCG,Louth Hospital,LN11 0EU,53.3702224,-0.0084531
Midlands,NHS Lincolnshire CCG,The Table Tennis Club Grantham Meres,NG31 7XQ,52.9070646,-0.6654624
Midlands,NHS Birmingham and Solihull CCG,Sparkhill Primary Care Centre,B11 4BW,52.4444676,-1.8585405
Midlands,NHS Birmingham and Solihull CCG,West Heath Surgery,B31 3HB,52.4011542,-1.9620318
Midlands,NHS Dudley CCG,Feldon Lane Medical Practice,B62 9DR,52.4670809,-2.0291611
Midlands,NHS Dudley CCG,Northway Medical Practice,DY3 3QY,52.54807109999999,-2.1309869
Midlands,NHS Birmingham and Solihull CCG,Chelmsley Wood,B37,52.479201,-1.7326305
Midlands,NHS North Staffordshire CCG,Ryecroft Surgery,ST5 6PS,53.0156944,-2.2669634
Midlands,NHS Northamptonshire CCG,Nene Valley Surgery,NN14 4QL,52.4000052,-0.5367371
Midlands,NHS Northamptonshire CCG,Nene Valley Surgery,PE2 5GP,52.5475942,-0.2820305
Midlands,NHS Northamptonshire CCG,Queensway Medical Centre,NN8 3QE,52.3049823,-0.7175436
Midlands,NHS Northamptonshire CCG,Weedon Surgery,NN7 4RX,52.2257753,-1.0814668
Midlands,NHS Sandwell and West Birmingham CCG,Enki Medical ,B19 1BP,52.5013375,-1.9213699
Midlands,NHS Shropshire CCG,Bridgnorth Medical Practice,WV16 4EN,52.5379089,-2.4229409
Midlands,NHS Stoke on Trent CCG,Smallthorne Branch Surgery,ST6 1SA,53.0508448,-2.1727357
Midlands,NHS Stoke on Trent CCG,Smallthorne Branch Surgery,ST6 7NN,53.0563484,-2.1742364
Midlands,NHS Wolverhampton CCG,Wood Road Surgery,WV6 8NF,52.59022119999999,-2.1809987
North East & Yorkshire,NHS Barnsley CCG,Priory Campus,S71 5PN,53.5561948,-1.4407674
North East & Yorkshire,NHS Bradford District and Craven CCG,Canalside Healthcare Centre,BD16 4RP,53.8470234,-1.8287104
North East & Yorkshire,NHS Bradford District and Craven CCG,Long Lee,BD21,53.8586538,-1.8917121
North East & Yorkshire,NHS Bradford District and Craven CCG,Skipton Hospital,BD23 2RJ,53.9552504,-2.0188237
North East & Yorkshire,NHS Calderdale CCG,Spring Hall Surgery,HX1 4JG,53.7216275,-1.8925819
North East & Yorkshire,NHS County Durham CCG,Tanfield View Medical Centre,DH9 8AD,54.8698886,-1.7012196
North East & Yorkshire,NHS Doncaster CCG,The Rutland Centre,LE1 1TQ,52.6350705,-1.1280493
North East & Yorkshire,NHS East Riding of Yorkshire CCG,Brough Surgery,HU15 1AY,53.728946,-0.567684
North East & Yorkshire,NHS East Riding of Yorkshire CCG,Church View Surgery,PL9 9BN,50.357225,-4.0865178
North East & Yorkshire,NHS Hull CCG ,KC Stadium,HU3 6HU,53.7459183,-0.3680605
North East & Yorkshire,NHS Leeds CCG,Craven Road Medical Practice,LS6 2RX,53.814169,-1.5472875
North East & Yorkshire,NHS Leeds CCG,East Park Medical Centre,LS9 9JD,53.7941764,-1.5178071
North East & Yorkshire,NHS Leeds CCG,Hillfoot,S6 1HP,53.4153594,-1.4989013
North East & Yorkshire,NHS Newcastle and Gateshead CCG,Birtley Medical Group,DH3 2QT,54.8919249,-1.576421
North East & Yorkshire,NHS North Cumbria CCG,Flatt Walks Health Centre,CA28 7QE,54.544807,-3.5867937
North East & Yorkshire,NHS North Cumbria CCG,North Carlisle Medical Practice,CA3 9JZ,54.9101231,-2.9429626
North East & Yorkshire,NHS North Yorkshire CCG,Derwent Practice,YO17 9RF,54.1327756,-0.7975719
North East & Yorkshire,NHS North Yorkshire CCG,Filey Surgery,YO14 9AE,54.20982069999999,-0.291978
North East & Yorkshire,NHS Northumberland CCG,Lintonville,NE63,55.1843866,-1.5699861
North East & Yorkshire,NHS Rotherham CCG,Anston Medical Centre,S25 4DB,53.357316,-1.2231424
North East & Yorkshire,NHS Sheffield CCG,The Health Care Surgery,S5 8GS,53.4226436,-1.4877423
North East & Yorkshire,NHS Sheffield CCG,Woodhouse Health Centre,S13 7LY,53.3577807,-1.3723374
North East & Yorkshire,NHS Sunderland CCG,Grindon Lane Primary Care Centre,SR3 4EN,54.8886506,-1.4321181
North East & Yorkshire,NHS Tees Valley CCG ,One Life ,21701,39.4481945,-77.3944731
North East & Yorkshire,NHS Tees Valley CCG ,One Life ,21704,39.39307,-77.411969
North East & Yorkshire,NHS Tees Valley CCG ,Queens Park Medical Centre ,TS18 2AW,54.5691996,-1.3138588
North East & Yorkshire,NHS Vale of York CCG,Haxby Health Centre,YO32 2LL,54.0193658,-1.0820732
North East & Yorkshire,NHS Wakefield CCG,Church View Health Centre,WF9 3AP,53.5933333,-1.3125391
North West,NHS Blackpool CCG,Whitegate Health Centre,FY3 9ES,53.8117355,-3.033398
North West,NHS Bolton CCG,Tonge Moor Health Centre,BL2 2LW,53.5890116,-2.4098586
North West,NHS Bury CCG,Prestwich Walk in Centre,M25 1BT,53.533993,-2.283613
North West,NHS Castle Point & Rochford CCG,Puzey Family Practice,SS4 1AY,51.581471,0.7060266
North West,NHS Chorley and South Ribble CCG,Chorley Surgery,PR7 2EJ,53.651407,-2.633232
North West,NHS Fylde & Wyre CCG,Lytham PCC,FY8 5DZ,53.739006,-2.9473143
North West,NHS Greater Preston CCG,ISSA Medical Centre,PR1 6YA,53.77011350000001,-2.6872585
North West,NHS Morecambe Bay CCG,Alfred Barrow Health Centre ,LA14 2LB,54.1096387,-3.224694
North West,NHS Cheshire CCG ,Dene Drive Primary Care Centre ,CW7 1AT,53.19033109999999,-2.5310344
North West,NHS East Lancashire,St Peter's Centre,63376,38.7916374,-90.59631189999999
North West,NHS Wirral CCG,Birkenhead Medical Building ,CH41 8DB,53.3982186,-3.0464026
North West,NHS Oldham CCG,Barley Clough Medical Centre,OL4 1BN,53.5379497,-2.0962092
South East,NHS Berkshire West CCG,Tilehurst Village Surgery,RG31 5PP,51.4612479,-1.042233
South East,NHS Buckinghamshire CCG,Chalfont Hospital,SL9 9DR,51.6076027,-0.5616325
South East,NHS East Sussex CCG,The Meads Medical Centre,ME10 5AA,51.3504375,0.7173379
South East,NHS Fareham and Gosport CCG,Fareham Community Hospital,SO31 7DQ,50.8708404,-1.2753551
South East,NHS Kent and Medway CCG,Abbey Court Medical Centre,TN4 9TF,51.13775,0.2607628
South East,NHS Kent and Medway CCG,Mocketts Wood ,CT10 2TR,51.3666083,1.4189231
South East,NHS Kent and Medway CCG,Queen Victoria memorial Hospital ,AL6 9PW,51.8282509,-0.2236181
South East,NHS Kent and Medway CCG,Sheerness Health Centre,ME12 1UP,51.4364406,0.7659486
South East,NHS North East Hampshire and Farnham CCG,Monteagle Surgery,GU46 6PY,51.33923739999999,-0.8474661
South East,NHS Oxfordshire CCG,Chipping Norton Health Centre,OX7 5FA,51.94556110000001,-1.5351033
South East,NHS Oxfordshire CCG,Malthouse Surgery,OX14 3JY,51.67206179999999,-1.2829563
South East,NHS Southampton CCG ,St Peters Surgery,12206,42.6866557,-73.8135748
South East,NHS West Sussex CCG,Park Surgery,RH12 1BG,51.06435,-0.3273649
South East,NHS West Sussex CCG,Saxonbrook,RH10 7QH,51.1077849,-0.1535083
South East,NHS West Sussex CCG,Angmering Medical Centre,BN16 4HL,50.8275489,-0.4864917
South West,"NHS Bristol, North Somerset and South Gloucestershire CCG",Kingswood Health Centre,BS15 4EJ,51.4630039,-2.4999376
South West,"NHS Bristol, North Somerset and South Gloucestershire CCG",Riverbank ,SE1 7TJ,51.491367,-0.1214208
South West,NHS Devon CCG,"Abbey Surgery, Tavistock ",PL19 8BU,50.5479406,-4.1479776
South West,NHS Devon CCG,Exminster Limes Surgery,EX6 8DF,50.6790024,-3.4943953
South West,NHS Devon CCG,Exmouth Tennis Centre,EX8 3AE,50.627544,-3.405207
South West,NHS Devon CCG,Exmouth Tennis Centre,EX8 2BU,50.613789,-3.4028693
South West,NHS Devon CCG,Okehampton Medical Centre,EX20 1AY,50.7388248,-3.997618
South West,NHS Dorset CCG,Heatherview Medical Centre,BH12 4AY,50.7396632,-1.912963
South West,NHS Dorset CCG,St Leonards Hospital,BH24 2RR,50.8176159,-1.8562481
South West,NHS Dorset CCG,Stour Surgery,BH23 1PA,50.7363515,-1.7839639
South West,NHS Kernow CCG,Carlyon Health Hub,PL25 4EG,50.3388224,-4.783612499999999
South West,NHS Kernow CCG,Truro Health Park,TR1 2JA,50.2601438,-5.0560925
South West,NHS Kernow CCG,Bodmin Treatment Centre,PL31 2QT,50.4682168,-4.743069999999999
East of England,NHS Herts Valley CCG,Club Batchwood,AL3 5XA,51.7667921,-0.354487
North West,NHS Blackburn with Darwen CCG,Barabara Castle Way Health Centre,BB2 1AX,53.7504225,-2.4885615
North West,NHS East Lancashire CCG,Acorn Primary Health Care Centre,BB5 1RT,53.7524581,-2.3848574
London,NHS South East London CCG,Orpington Health and Wellbeing Centre,BR6 0FE,51.37585989999999,0.1012137
East of England,NHS West Essex CCG,St Margaret's Hospital,CM16 6TN,51.70484279999999,0.1229417
East of England,NHS West Essex CCG,Lister Medical Centre,CM18 6YJ,51.7543953,0.0910251
South East,NHS Surrey Heartlands CCG,Westway Commuity Centre,CR3 5TA,51.2861109,-0.09185220000000001
London,NHS South West London CCG,Old Coulsdon Congregational Church,CR5 1EH,51.3073304,-0.1193986
South East,NHS Kent and Medway CCG,Minster Surgery,CT12 4AB,51.33464379999999,1.3161015
South East,NHS Kent and Medway CCG,Swanscombe Health Centre,DA10 0BF,51.4420464,0.3119775
NE Yorkshire,NHS County Durham CCG,Jubilee Medical Centre,L11 4UG,53.4488707,-2.9023161
NE Yorkshire,NHS North Lincolnshire CCG,Cedar Medical Practice,DN16 2AB,53.5717443,-0.6557373
NE Yorkshire,NHS North East Lincolnshire CCG,Beacon Medical,46617,41.6846588,-86.2446274
NE Yorkshire,NHS Doncaster CCG,Keepmoat Stadium,DN4 5JW,53.5100517,-1.1147467
London,NHS Tower Hamlets CCG,"The Arts Centre, Queen Mary University",E1 4NS,51.5240671,-0.0403745
London,NHS Waltham Forest CCG,Forest Road Medical Centre,E17 5JL,51.58974449999999,-0.0260754
London,NHS Waltham Forest CCG,Forest Road Medical Centre,N9 7HD,51.633574,-0.05334440000000001
London,NHS City and Hackney CCG,Elsdale Street Surgery,E9 6QY,51.5430126,-0.0490683
London,NHS North Central London CCG,Carlton House,33706,27.7388576,-82.7517544
London,NHS North Central London CCG,Carlton House,33706,38.9983094,-104.8613176
London,NHS Brent CCG,Wembley Centre for Health and Care,HA0 4UZ,51.5500751,-0.3059501
London,NHS Harrow CCG,The Hive,H3W 1X2,45.48624969999999,-73.62644639999999
NE Yorkshire,NHS Greater Huddersfield CCG,Cathedral House,CB7 4ER,52.3996917,0.2610836
London,NHS Redbridge CCG,Redbridge Town Hall,IG1 1DD,51.558692,0.0745057
London,NHS Redbridge CCG,Fullwell Cross Medical Centre,IG6 2HG,51.5945704,0.0838421
London,NHS Redbridge CCG,Sir James Hawkey Hall,IG8 0BG,51.6081465,0.023382
East of England,NHS Norfolk and Waveney CCG,Thetford Healthy Living Centre,IP24 1JD,52.42036539999999,0.7468205
East of England,NHS West Suffolk CCG,Woolpit Health Centre,IP30 9QU,52.2228909,0.8940889
North West,NHS Morecambe Bay CCG,"Health Innovation Centre, Lancaster Uni",LA1 4XR,54.0169067,-2.7920117
North West,NHS Morecambe Bay CCG,"Health Innovation Centre, Lancaster Uni",LA1 4YW,54.0103942,-2.7877294
Midlands,NHS West Leicestershire CCG,Heath Lane Surgery,LE9 7RT,52.5756912,-1.321575
East of England,NHS Bedfordshire CCG,Priory Gardens Surgery,LU6 3SU,51.8850375,-0.519143
South East,NHS Kent and Medway CCG,Len Valley Branch Surgery (Glebe),ME17 1AP,51.2442748,0.6809934999999999
South East,NHS Kent and Medway CCG,Long Catlis Road Surgery,ME8 9PR,51.3481773,0.5955376
NE Yorkshire,NHS Newcastle and Gateshead CCG,Oxford Centre,OX1 1BY,51.7523546,-1.2636866
NE Yorkshire,NHS Northumberland CCG,Village Surgery,DE23 8AL,52.8963672,-1.4846924
NE Yorkshire,NHS South Tyneside CCG,Flagg Court Health Centre,NE33 2LS,54.9989921,-1.4264175
East of England,NHS Northamptonshire CCG,Harborough Field Surgery,NN10 0GP,52.2863092,-0.5818643
East of England,NHS Northamptonshire CCG,Weavers Medical,NN16 8DN,52.4011434,-0.7339781
East of England,NHS Northamptonshire CCG,Woodsend Medical Centre,NN18 0QP,52.4844087,-0.7117745
East of England,NHS Northamptonshire CCG,Kingsthorpe Medical Centre,NN2 7JN,52.2581506,-0.8919682999999999
East of England,NHS Norfolk and Waveney CCG,Falkland Surgery,RG14 7DF,51.3822406,-1.3357926
London,NHS North Central London CCG,Temple Fortune Health Centre,NW11 7TE,51.58103190000001,-0.1977619
London,NHS Barking and Dagenham CCG,Parsloes Surgery,RM9 5QP,51.5512059,0.1310737
NE Yorkshire,NHS Sorfolk  Waveney CCG,Manor Park Medical Centre,SL1 3XU,51.5255704,-0.6013358
London,NHS South East London CCG,St Johns Medical Centre,WS9 9LP,52.62538929999999,-1.9341141
London,NHS South East London CCG,Plumstead Health Centre,SE18 1BH,51.4854485,0.09293939999999999
London,NHS South East London CCG,Tessa Jowell Health Centre,SE22 8EY,51.4593007,-0.08041179999999999
East of England,NHS East and North Hertfordshire CCG,Ware Drill Hall,SG12 9HP,51.8089646,-0.0296337
East of England,NHS East and North Hertfordshire CCG,Hertford Theatre,SG14 1PS,51.7964868,-0.0797368
NE Yorkshire,NHS County Durham CCG,Seaham Primary Care Centre,SR7 7JE,54.8354568,-1.3349078
East of England,NHS Southend CCG,Highlands Surgery,SS9 2SQ,51.548147,0.6363219999999999
London,NHS North Central London CCG,Bloomsbury Surgery,WC1N 1PD,51.5257449,-0.1227735
East of England,NHS Herts Valley CCG,Bridgewater Surgeries,WD18 7QR,51.6512307,-0.4225524000000001
NE Yorkshire,NHS Wakefield CCG,Castleford Civic Centre,WF10 4JH,53.7247247,-1.3427447
NE Yorkshire,NHS North Kirklees CCG,IMWS Al-Hikmah Centre,WF17 7AA,53.704811,-1.6411573
NE Yorkshire,NHS North Yorkshire CCG,Central Healthcare,77380,30.159107,-95.4732404
NE Yorkshire,NHS Vale of York CCG,Pickering Medical Practice,YO18 8BL,54.2449197,-0.7808644
Midlands,NHS Warwickshire North CCG,Hazelwood Practice,B46 3LD,52.4979793,-1.7072256
Midlands,NHS Sandwell and West Birmingham CCG,Whiteheath Medical Centre,B69 1EJ,52.493132,-2.0339202
Midlands,NHS Birmingham and Solihull CCG,Falcon Medical Centre,B75 7PG,52.5647354,-1.7903742
Midlands,NHS Birmingham and Solihull CCG,Falcon Medical Centre,SW11 2PH,51.4684178,-0.1706748
Midlands,NHS Birmingham and Solihull CCG,Monkspath Surgery,B90 4EH,52.3908229,-1.7840593
South West,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Combe Down Branch Surgery,BA2 5EG,51.360932,-2.3455491
South West,NHS Somerset CCG,West Mendip Community Hospital,BA6 8JD,51.1602457,-2.6988813
South West,NHS Dorset CCG,Talbot Medical Centre,BH10 4BX,50.7488651,-1.9087994
South West,NHS West Hampshire CCG ,New Milton Health Centre,BH25 6EN,50.7547006,-1.6547371
South East,NHS Brighton and Hove CCG,Preston Park Surgery,BN1 6DP,50.8378445,-0.1402047
South East,NHS East Sussex CCG,River Lodge Surgery,BN7 2RD,50.875403,0.0166958
South West,"NHS Bristol, North Somerset and South Gloucestershire CCG",The Greenway Cntre,BS10 5PY,51.4996423,-2.6088281
South West,"NHS Bristol, North Somerset and South Gloucestershire CCG",Pudding Pie Lane,BS40,51.34120859999999,-2.7862309
North West,NHS Wirral CCG,Woodchurch Leisure Centre,CH49 8EU,53.37858319999999,-3.0803847
Midlands,NHS Coventry and Rugby CCG,Locke House,95237,38.1652367,-121.1520901
Midlands,NHS South Warwickshire CCG,The Warwickshire (Golf Club),CV35 7QT,52.3101539,-1.5895831
Midlands,NHS South Warwickshire CCG,Stratford Hospital,CV37 6NX,52.1950157,-1.7127738
Midlands,NHS Coventry and Rugby CCG,Kerseley Green Surgery,CV7 8LA,52.46044149999999,-1.5355848
Midlands,NHS East Staffordshire CCG,"Pirelli Stadium, Burton Albion",DE13 0AR,52.8215623,-1.627267
South West,NHS Dorset CCG,Weymouth Community Hospital,DT4 7TB,50.6212314,-2.4507964
South West,NHS Dorset CCG,Bridport Medical Centre,DT6 5BN,50.7340764,-2.7688859
South West,NHS Gloucestershire CCG,Rosebank Surgery,LA1 4JS,54.0402396,-2.7993143
South West,NHS Gloucestershire CCG,The Devereux Centre,GL20 5GJ,51.992288,-2.1534187
South West,NHS Gloucestershire CCG,Cheltenham East Community Fire Station,GL53 7PX,51.8925742,-2.0687614
South West,NHS Gloucestershire CCG,North Cotswolds Hospital,GL56 0DS,51.98353299999999,-1.7073018
South East,NHS Surrey Heath CCG,Heatherside Surgery,GU15 1SE,51.3306721,-0.7037042
South East,NHS Surrey Heartlands CCG,St Christopher's Church,77080,29.803383,-95.5237156
South East,NHS South Eastern Hampshire CCG,Petersfield Festival Hall,GU31 4DZ,51.0039238,-0.9323634
Midlands,NHS Herefordshire and Worcestershire CCG,Halo Leisure Centre,HR4 9UD,52.0698204,-2.7228472
Midlands,NHS Herefordshire and Worcestershire CCG,Ledbury Community Hall,HR8 2AE,52.03766539999999,-2.4256601
South East,NHS Surrey Heartlands CCG,Chertsey Hall,KT16 9DR,51.3894925,-0.5045676
North West,NHS Liverpool CCG,Aintree Community Centre,L10 6NL,53.4853235,-2.9355073
North West,NHS Liverpool CCG,Valley Medical Centre,98055,47.44334019999999,-122.2139169
North West,NHS South Sefton CCG,Maghull Town Hall,L31 7BB,53.5073574,-2.944637
North West,NHS Knowsley CCG,Huyton One Stop Shop,L36 9UX,53.4117306,-2.8404768
North West,NHS West Lancashire CCG,Hants Lane Clinic,L39 1PX,53.5699884,-2.8851435
North West,NHS Manchester CCG,Woodhouse Park Lifestyle Centre,M22 1QW,53.3742089,-2.2717267
North West,NHS Salford CCG,Clarendon Leisure Centre,M5 4HU,53.4830954,-2.2845634
London,NHS Brent CCG,Park Royal Medical Practice,NW10 7NS,51.5307122,-0.2690756
North West,"NHS Heywood, Middleton and Rochdale CCG",Number 1 Riverside,OL16 1HE,53.6169772,-2.1534969
South West,NHS Devon CCG ,The Staddy,PL9 9LT,50.346234,-4.0820429
South West,NHS Portsmouth CCG,Kingston Crescent Surgery,PO2 8AL,50.813007,-1.080905
South East,NHS Isle of Wight CCG,"Newport Medical Practice, Carisbrooke",PO30 1NR,50.6916716,-1.3106799
North West,NHS Southport and Formby CCG,Southport Centre for Health Wellbeing,PR9 0PQ,53.6495365,-2.9985139
South East,NHS Berkshire West CCG,Wargrave Surgery,RG10 8BP,51.5016353,-0.8619922
South East,NHS North Hampshire CCG,Hampshire Court Hotel,RG24 8FY,51.2836849,-1.0567514
South East,NHS Oxfordshire CCG,The Hart Surgery,RG9 2DR,51.5381858,-0.9086628
South East,NHS West Sussex CCG,Christ Hospital - Blue Coats,RH13 0LJ,51.0436512,-0.3633005
South East,NHS West Sussex CCG,Christ Hospital - Blue Coats,RH13 0YB,51.0453266,-0.3613463
South East,NHS West Sussex CCG,The Glebe Surgery,RH20 4FR,50.9184195,-0.4583707
North West,NHS Tameside and Glossop CCG,Hyde Leisure Centre,SK14 5PL,53.4493042,-2.0676801
South East,NHS Surrey Heartlands CCG,Nonsuch Mansion,SM3 8AL,51.3582961,-0.2285993
South West,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Devizes Corn Exchange,SN10 1HS,51.3523658,-1.9960763
South West,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Rowden Medical Partnership,SN15 2SB,51.4538433,-2.1250448
South West,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Steam Museum,46350,41.7534475,-86.67790339999999
South East,NHS West Hampshire CCG ,Badger Farm Community Centre,SO22 4QB,51.0462931,-1.3393462
South East,NHS West Hampshire CCG ,Bursledon Surgery,SO31 8ES,50.8899503,-1.317081
Midlands,NHS Stafford and Surrounds CCG,County Showground,WR13 6NW,52.0822984,-2.3144888
London,NHS South West London CCG,Balham Health Centre,SW12 9HS,51.4406873,-0.1489573
London,NHS South West London CCG,Essex House Surgery,SW13 0LW,51.472943,-0.247769
South West,NHS Somerset CCG,Mulberry Centre,TW7 6AF,51.472299,-0.323396
South West,NHS Devon CCG ,St Bonafice,68736,42.78632280000001,-97.3750797
South West,NHS Devon CCG ,English Riveria Centre,TQ2 5JG,50.4615,-3.5254685
London,NHS Hounslow CCG,Heart of Hounslow Centre for Health,TW3 3LN,51.46857929999999,-0.3717179
London,NHS Hammersmith and Fulham CCG,Richford Gate Medical Centre,W6 7HY,51.500462,-0.2266134
North West,NHS Trafford CCG,Altrinham Health and Wellbeing Hub,WA14 1RZ,53.3873528,-2.3524021
North West,NHS Warrington CCG,Orford Jubilee Hub,WA2 8HE,53.4049209,-2.5884194
North West,NHS Cheshire CCG,Frodsham Leisure Centre,WA6 6RP,53.29383000000001,-2.726165
North West,NHS Halton CCG,DCBL Stadium,WA8 7DZ,53.365201,-2.73861
North West,NHS St Helens CCG,"Totally Wicked Stadium, St Helens RLFC",WA9 3AL,53.4474676,-2.7261145
North West,NHS Wigan Borough CCG,Robin Park Leisure Centre,WN5 0UL,53.5458698,-2.6558074
Midlands,NHS South East Staffordshire and Seisdon Peninsula CCG,Codsall Satelite Clinic,WV8 1HB,52.6311536,-2.1999183
South East,NHS East Berkshire CCG,Salt Hill Activity Centre,SL1 3SS,51.5123182,-0.6075005
South East,NHS Surrey Heartlands CCG,Epsom Racecourse,KT18 5LQ,51.306437,-0.2538044
Midlands,NHS Sandwell and West Birmingham CCG,Brasshouse Community Centre,B66 1BA,52.5005539,-1.9699891
Midlands,NHS Birmingham and Solihull CCG,All Saints Medical Centre,SE18 3PS,51.479661,0.0666078
Midlands,NHS Birmingham and Solihull CCG,Erdington Medical Centre,B24 8BJ,52.5182114,-1.8413928
Midlands,NHS Birmingham and Solihull CCG,The Church of the Latter Day Saints,M1 7XN,53.469957,-2.235846
Midlands,NHS Derbyshire CCG,Stubley Medical Centre,S18 8QY,53.30514100000001,-1.4899356
Midlands,NHS Dudley CCG,Revival Fires,DY1 3AL,52.5121288,-2.0928267
Midlands,NHS Herefordshire and Worcestershire CCG,Hume Street Medical Centre,DY11 6SF,52.3839274,-2.261303
Midlands,NHS Herefordshire and Worcestershire CCG,Prospect View Medical Centre,WR14 2GP,52.1136134,-2.3087065
Midlands,NHS Herefordshire and Worcestershire CCG,Turnpike House,M50 1SW,53.48241429999999,-2.3149505
